,CAS
1296,75-62-7
1297,7784-33-0
1298,116-29-0
1299,97-17-6
1300,591-08-2
1301,502-39-6
1302,13967-50-5
1303,100-61-8
1304,64-86-8
1305,106-49-0
1306,4410-99-5
1307,102-82-9
1308,553-94-6
1309,62-74-8
1310,16925-39-6
1311,108-45-2
1312,612-22-6
1313,553-90-2
1314,67-66-3
1315,3173-56-6
1316,95-64-7
1317,126-73-8
1318,83-79-4
1319,109-70-6
1320,459-22-3
1321,352-33-0
1322,23422-53-9
1323,20325-40-0
1324,140-53-4
1325,13718-59-7
1326,598-16-3
1327,557-21-1
1328,841-77-0
1329,624-18-0
1330,541-69-5
1331,7778-44-1
1332,10102-20-2
1333,3689-24-5
1334,2540-82-1
1335,29921-57-1
1336,88-74-4
1337,91-13-4
1338,757-58-4
1339,626-41-5
1340,1689-83-4
1341,1314-12-1
1342,50709-33-6
1343,1118-46-3
1344,591-27-5
1345,91-22-5
1346,22071-15-4
1347,119-75-5
1348,36322-90-4
1349,13071-79-9
1350,598-99-2
1351,538-08-9
1352,122-42-9
1353,591-17-3
1354,13963-58-1
1355,769-39-1
1356,88-85-7
1357,28434-00-6
1358,2068-78-2
1359,1199-46-8
1360,869-24-9
1361,6151-25-3
1362,1330-78-5
1363,111-88-6
1364,7783-35-9
1365,100-70-9
1366,6781-98-2
1367,2463-84-5
1368,24017-47-8
1369,953-17-3
1370,581-96-4
1371,111-68-2
1372,2032-65-7
1373,50326-33-5
1374,123-73-9
1375,51630-58-1
1376,106-45-6
1377,18181-80-1
1378,13547-70-1
1379,34743-87-8
1380,119-90-4
1381,110-63-4
1382,98-50-0
1383,5146-66-7
1384,89-87-2
1385,771-51-7
1386,151-56-4
1387,51-83-2
1388,683-72-7
1389,515-84-4
1390,2867-47-2
1391,619-24-9
1392,4755-81-1
1393,149-57-5
1394,95-70-5
1395,624-48-6
1396,5416-93-3
1397,111-70-6
1398,545-55-1
1399,1885-38-7
1400,534-07-6
1401,13410-01-0
1402,111-69-3
1403,623-24-5
1404,3958-60-9
1405,7784-35-2
1406,579-44-2
1407,299-45-6
1408,120-82-1
1409,121-14-2
1410,75-03-6
1411,102-81-8
1412,619-31-8
1413,80-08-0
1414,107-16-4
1415,941-69-5
1416,628-73-9
1417,63-45-6
1418,5558-67-8
1419,75-09-2
1420,81-81-2
1421,7700-17-6
1422,16919-19-0
1423,105-36-2
1424,35543-25-0
1425,370-81-0
1426,54-96-6
1427,37203-43-3
1428,109-82-0
1429,576-22-7
1430,1603-40-3
1431,90-13-1
1432,619-80-7
1433,30685-43-9
1434,108-70-3
1435,95-75-0
1436,79-00-5
1437,4202-38-4
1438,104-90-5
1439,695-96-5
1440,611-17-6
1441,92-53-5
1442,99-56-9
1443,2642-71-9
1444,5500-21-0
1445,579-66-8
1446,591-89-9
1447,100-11-8
1448,7784-18-1
1449,67-72-1
1450,617-83-4
1451,1498-51-7
1452,2439-10-3
1453,142-61-0
1454,116-54-1
1455,3165-93-3
1456,14239-68-0
1457,5124-30-1
1458,7789-24-4
1459,131732-21-6
1460,7486-35-3
1461,1069-23-4
1462,60-34-4
1463,50782-69-9
1464,873-62-1
1465,77-47-4
1466,58164-88-8
1467,10028-18-9
1468,131860-33-8
1469,2050-92-2
1470,95-54-5
1471,43121-43-3
1472,104-55-2
1473,576-26-1
1474,89-72-5
1475,10124-48-8
1476,543-80-6
1477,620-13-3
1478,7425-48-1
1479,628-11-5
1480,2409-55-4
1481,3347-22-6
1482,4083-64-1
1483,112-55-0
1484,10102-45-1
1485,14763-77-0
1486,122-34-9
1487,2835-95-2
1488,823-40-5
1489,1427-07-2
1490,152-16-9
1491,89-64-5
1492,41931-18-4
1493,103-71-9
1494,7778-39-4
1495,1345-05-7
1496,142-04-1
1497,110-60-1
1498,608-71-9
1499,766-84-7
1500,3031-66-1
1501,610-40-2
1502,137-42-8
1503,919-76-6
1504,606-20-2
1505,1594-56-5
1506,364-74-9
1507,65-19-0
1508,6080-56-4
1509,609-93-8
1510,822-06-0
1511,6055-19-2
1512,791-28-6
1513,298-03-3
1514,111-31-9
1515,688-73-3
1516,64248-63-1
1517,111-66-2
1518,123-81-9
1519,541-59-3
1520,3115-68-2
1521,95-71-6
1522,19398-61-9
1523,95-16-9
1524,50864-67-0
1525,491-35-0
1526,120-37-6
1527,79-27-6
1528,1461-25-2
1529,3691-35-8
1530,621-95-4
1531,824-78-2
1532,93-17-4
1533,503-38-8
1534,694-28-0
1535,506-68-3
1536,542-90-5
1537,12018-10-9
1538,128-39-2
1539,95-82-9
1540,93763-61-2
1541,2437-25-4
1542,52315-07-8
1543,622-44-6
